# emoji-sequences.txt
# Date: 2019-01-15, 12:17:16 GMT
# © 2019 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji Sequence Data for UTS #51
# Version: 12.0
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field, one of the following: 
#       Basic_Emoji
#       Emoji_Keycap_Sequence
#       Emoji_Flag_Sequence
#       Emoji_Tag_Sequence
#       Emoji_Modifier_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Basic_Emoji

231A..231B    ; Basic_Emoji              ; watch                                                          #  1.1  [2] (⌚..⌛)
1F3D5 FE0F    ; Basic_Emoji              ; camping                                                        #  7.0  [1] (🏕️)
1F3D6 FE0F    ; Basic_Emoji              ; beach with umbrella                                            #  7.0  [1] (🏖️)
1F3D7 FE0F    ; Basic_Emoji              ; building construction                                          #  7.0  [1] (🏗️)
1F3D8 FE0F    ; Basic_Emoji              ; houses                                                         #  7.0  [1] (🏘️)
1F3D9 FE0F    ; Basic_Emoji              ; cityscape                                                      #  7.0  [1] (🏙️)
1F3DA FE0F    ; Basic_Emoji              ; derelict house                                                 #  7.0  [1] (🏚️)
1F3DB FE0F    ; Basic_Emoji              ; classical building                                             #  7.0  [1] (🏛️)
1F3DC FE0F    ; Basic_Emoji              ; desert                                                         #  7.0  [1] (🏜️)
1F3DD FE0F    ; Basic_Emoji              ; desert island                                                  #  7.0  [1] (🏝️)
1F3DE FE0F    ; Basic_Emoji              ; national park                                                  #  7.0  [1] (🏞️)
1F3DF FE0F    ; Basic_Emoji              ; stadium                                                        #  7.0  [1] (🏟️)
1F3F3 FE0F    ; Basic_Emoji              ; white flag                                                     #  7.0  [1] (🏳️)
1F3F5 FE0F    ; Basic_Emoji              ; rosette                                                        #  7.0  [1] (🏵️)
1F3F7 FE0F    ; Basic_Emoji              ; label                                                          #  7.0  [1] (🏷️)
1F43F FE0F    ; Basic_Emoji              ; chipmunk                                                       #  7.0  [1] (🐿️)
1F441 FE0F    ; Basic_Emoji              ; eye                                                            #  7.0  [1] (👁️)
1F4FD FE0F    ; Basic_Emoji              ; film projector                                                 #  7.0  [1] (📽️)
1F549 FE0F    ; Basic_Emoji              ; om                                                             #  7.0  [1] (🕉️)
1F54A FE0F    ; Basic_Emoji              ; dove                                                           #  7.0  [1] (🕊️)
1F56F FE0F    ; Basic_Emoji              ; candle                                                         #  7.0  [1] (🕯️)
1F570 FE0F    ; Basic_Emoji              ; mantelpiece clock                                              #  7.0  [1] (🕰️)
1F573 FE0F    ; Basic_Emoji              ; hole                                                           #  7.0  [1] (🕳️)
1F574 FE0F    ; Basic_Emoji              ; man in suit levitating                                         #  7.0  [1] (🕴️)
1F575 FE0F    ; Basic_Emoji              ; detective                                                      #  7.0  [1] (🕵️)
1F576 FE0F    ; Basic_Emoji              ; sunglasses                                                     #  7.0  [1] (🕶️)
1F577 FE0F    ; Basic_Emoji              ; spider                                                         #  7.0  [1] (🕷️)
1F578 FE0F    ; Basic_Emoji              ; spider web                                                     #  7.0  [1] (🕸️)
1F579 FE0F    ; Basic_Emoji              ; joystick                                                       #  7.0  [1] (🕹️)
1F587 FE0F    ; Basic_Emoji              ; linked paperclips                                              #  7.0  [1] (🖇️)
1F58A FE0F    ; Basic_Emoji              ; pen                                                            #  7.0  [1] (🖊️)
1F58B FE0F    ; Basic_Emoji              ; fountain pen                                                   #  7.0  [1] (🖋️)
1F58C FE0F    ; Basic_Emoji              ; paintbrush                                                     #  7.0  [1] (🖌️)
1F58D FE0F    ; Basic_Emoji              ; crayon                                                         #  7.0  [1] (🖍️)
1F590 FE0F    ; Basic_Emoji              ; hand with fingers splayed                                      #  7.0  [1] (🖐️)
1F5A5 FE0F    ; Basic_Emoji              ; desktop computer                                               #  7.0  [1] (🖥️)
1F5A8 FE0F    ; Basic_Emoji              ; printer                                                        #  7.0  [1] (🖨️)
1F5B1 FE0F    ; Basic_Emoji              ; computer mouse                                                 #  7.0  [1] (🖱️)
1F5B2 FE0F    ; Basic_Emoji              ; trackball                                                      #  7.0  [1] (🖲️)
1F5BC FE0F    ; Basic_Emoji              ; framed picture                                                 #  7.0  [1] (🖼️)
1F5C2 FE0F    ; Basic_Emoji              ; card index dividers                                            #  7.0  [1] (🗂️)
1F5C3 FE0F    ; Basic_Emoji              ; card file box                                                  #  7.0  [1] (🗃️)
1F5C4 FE0F    ; Basic_Emoji              ; file cabinet                                                   #  7.0  [1] (🗄️)
1F5D1 FE0F    ; Basic_Emoji              ; wastebasket                                                    #  7.0  [1] (🗑️)
1F5D2 FE0F    ; Basic_Emoji              ; spiral notepad                                                 #  7.0  [1] (🗒️)
1F5D3 FE0F    ; Basic_Emoji              ; spiral calendar                                                #  7.0  [1] (🗓️)
1F5DC FE0F    ; Basic_Emoji              ; clamp                                                          #  7.0  [1] (🗜️)
1F5DD FE0F    ; Basic_Emoji              ; old key                                                        #  7.0  [1] (🗝️)
1F5DE FE0F    ; Basic_Emoji              ; rolled-up newspaper                                            #  7.0  [1] (🗞️)
1F5E1 FE0F    ; Basic_Emoji              ; dagger                                                         #  7.0  [1] (🗡️)
1F5E3 FE0F    ; Basic_Emoji              ; speaking head                                                  #  7.0  [1] (🗣️)
1F5E8 FE0F    ; Basic_Emoji              ; left speech bubble                                             #  7.0  [1] (🗨️)
1F5EF FE0F    ; Basic_Emoji              ; right anger bubble                                             #  7.0  [1] (🗯️)
1F5F3 FE0F    ; Basic_Emoji              ; ballot box with ballot                                         #  7.0  [1] (🗳️)
1F5FA FE0F    ; Basic_Emoji              ; world map                                                      #  7.0  [1] (🗺️)
1F6CB FE0F    ; Basic_Emoji              ; couch and lamp                                                 #  7.0  [1] (🛋️)
1F6CD FE0F    ; Basic_Emoji              ; shopping bags                                                  #  7.0  [1] (🛍️)
1F6CE FE0F    ; Basic_Emoji              ; bellhop bell                                                   #  7.0  [1] (🛎️)
1F6CF FE0F    ; Basic_Emoji              ; bed                                                            #  7.0  [1] (🛏️)
1F6E0 FE0F    ; Basic_Emoji              ; hammer and wrench                                              #  7.0  [1] (🛠️)
1F6E1 FE0F    ; Basic_Emoji              ; shield                                                         #  7.0  [1] (🛡️)
1F6E2 FE0F    ; Basic_Emoji              ; oil drum                                                       #  7.0  [1] (🛢️)
1F6E3 FE0F    ; Basic_Emoji              ; motorway                                                       #  7.0  [1] (🛣️)
1F6E4 FE0F    ; Basic_Emoji              ; railway track                                                  #  7.0  [1] (🛤️)
1F6E5 FE0F    ; Basic_Emoji              ; motor boat                                                     #  7.0  [1] (🛥️)
1F6E9 FE0F    ; Basic_Emoji              ; small airplane                                                 #  7.0  [1] (🛩️)
1F6F0 FE0F    ; Basic_Emoji              ; satellite                                                      #  7.0  [1] (🛰️)
1F6F3 FE0F    ; Basic_Emoji              ; passenger ship                                                 #  7.0  [1] (🛳️)

# Total elements: 1273

# ================================================

# Emoji_Keycap_Sequence

0023 FE0F 20E3; Emoji_Keycap_Sequence    ; keycap: \x{23}                                                 #  3.0  [1] (#️⃣)
002A FE0F 20E3; Emoji_Keycap_Sequence    ; keycap: *                                                      #  3.0  [1] (*️⃣)
0030 FE0F 20E3; Emoji_Keycap_Sequence    ; keycap: 0                                                      #  3.0  [1] (0️⃣)
0031 FE0F 20E3; Emoji_Keycap_Sequence    ; keycap: 1                                                      #  3.0  [1] (1️⃣)
0032 FE0F 20E3; Emoji_Keycap_Sequence    ; keycap: 2                                                      #  3.0  [1] (2️⃣)
0033 FE0F 20E3; Emoji_Keycap_Sequence    ; keycap: 3                                                      #  3.0  [1] (3️⃣)
0034 FE0F 20E3; Emoji_Keycap_Sequence    ; keycap: 4                                                      #  3.0  [1] (4️⃣)
0035 FE0F 20E3; Emoji_Keycap_Sequence    ; keycap: 5                                                      #  3.0  [1] (5️⃣)
0036 FE0F 20E3; Emoji_Keycap_Sequence    ; keycap: 6                                                      #  3.0  [1] (6️⃣)
0037 FE0F 20E3; Emoji_Keycap_Sequence    ; keycap: 7                                                      #  3.0  [1] (7️⃣)
0038 FE0F 20E3; Emoji_Keycap_Sequence    ; keycap: 8                                                      #  3.0  [1] (8️⃣)
0039 FE0F 20E3; Emoji_Keycap_Sequence    ; keycap: 9                                                      #  3.0  [1] (9️⃣)

# Total elements: 12

# ================================================

# Emoji_Flag_Sequence: This list does not include deprecated or macroregion flags, except for UN and EU.
# See Annex B of TR51 for more information.

1F1E6 1F1E8   ; Emoji_Flag_Sequence      ; flag: Ascension Island                                         #  6.0  [1] (🇦🇨)
1F1E6 1F1E9   ; Emoji_Flag_Sequence      ; flag: Andorra                                                  #  6.0  [1] (🇦🇩)
1F1E6 1F1EA   ; Emoji_Flag_Sequence      ; flag: United Arab Emirates                                     #  6.0  [1] (🇦🇪)
1F1E6 1F1EB   ; Emoji_Flag_Sequence      ; flag: Afghanistan                                              #  6.0  [1] (🇦🇫)
1F1E6 1F1EC   ; Emoji_Flag_Sequence      ; flag: Antigua & Barbuda                                        #  6.0  [1] (🇦🇬)
1F1E6 1F1EE   ; Emoji_Flag_Sequence      ; flag: Anguilla                                                 #  6.0  [1] (🇦🇮)
1F1E6 1F1F1   ; Emoji_Flag_Sequence      ; flag: Albania                                                  #  6.0  [1] (🇦🇱)
1F1E6 1F1F2   ; Emoji_Flag_Sequence      ; flag: Armenia                                                  #  6.0  [1] (🇦🇲)
1F1E6 1F1F4   ; Emoji_Flag_Sequence      ; flag: Angola                                                   #  6.0  [1] (🇦🇴)
1F1E6 1F1F6   ; Emoji_Flag_Sequence      ; flag: Antarctica                                               #  6.0  [1] (🇦🇶)
1F1E6 1F1F7   ; Emoji_Flag_Sequence      ; flag: Argentina                                                #  6.0  [1] (🇦🇷)
1F1E6 1F1F8   ; Emoji_Flag_Sequence      ; flag: American Samoa                                           #  6.0  [1] (🇦🇸)
1F1E6 1F1F9   ; Emoji_Flag_Sequence      ; flag: Austria                                                  #  6.0  [1] (🇦🇹)
1F1E6 1F1FA   ; Emoji_Flag_Sequence      ; flag: Australia                                                #  6.0  [1] (🇦🇺)
1F1E6 1F1FC   ; Emoji_Flag_Sequence      ; flag: Aruba                                                    #  6.0  [1] (🇦🇼)
1F1E6 1F1FD   ; Emoji_Flag_Sequence      ; flag: Åland Islands                                            #  6.0  [1] (🇦🇽)
1F1E6 1F1FF   ; Emoji_Flag_Sequence      ; flag: Azerbaijan                                               #  6.0  [1] (🇦🇿)
1F1E7 1F1E6   ; Emoji_Flag_Sequence      ; flag: Bosnia & Herzegovina                                     #  6.0  [1] (🇧🇦)
1F1E7 1F1E7   ; Emoji_Flag_Sequence      ; flag: Barbados                                                 #  6.0  [1] (🇧🇧)
1F1E7 1F1E9   ; Emoji_Flag_Sequence      ; flag: Bangladesh                                               #  6.0  [1] (🇧🇩)
1F1E7 1F1EA   ; Emoji_Flag_Sequence      ; flag: Belgium                                                  #  6.0  [1] (🇧🇪)
1F1E7 1F1EB   ; Emoji_Flag_Sequence      ; flag: Burkina Faso                                             #  6.0  [1] (🇧🇫)
1F1E7 1F1EC   ; Emoji_Flag_Sequence      ; flag: Bulgaria                                                 #  6.0  [1] (🇧🇬)
1F1E7 1F1ED   ; Emoji_Flag_Sequence      ; flag: Bahrain                                                  #  6.0  [1] (🇧🇭)
1F1E7 1F1EE   ; Emoji_Flag_Sequence      ; flag: Burundi                                                  #  6.0  [1] (🇧🇮)
1F1E7 1F1EF   ; Emoji_Flag_Sequence      ; flag: Benin                                                    #  6.0  [1] (🇧🇯)
1F1E7 1F1F1   ; Emoji_Flag_Sequence      ; flag: St. Barthélemy                                           #  6.0  [1] (🇧🇱)
1F1E7 1F1F2   ; Emoji_Flag_Sequence      ; flag: Bermuda                                                  #  6.0  [1] (🇧🇲)
1F1E7 1F1F3   ; Emoji_Flag_Sequence      ; flag: Brunei                                                   #  6.0  [1] (🇧🇳)
1F1E7 1F1F4   ; Emoji_Flag_Sequence      ; flag: Bolivia                                                  #  6.0  [1] (🇧🇴)
1F1E7 1F1F6   ; Emoji_Flag_Sequence      ; flag: Caribbean Netherlands                                    #  6.0  [1] (🇧🇶)
1F1E7 1F1F7   ; Emoji_Flag_Sequence      ; flag: Brazil                                                   #  6.0  [1] (🇧🇷)
1F1E7 1F1F8   ; Emoji_Flag_Sequence      ; flag: Bahamas                                                  #  6.0  [1] (🇧🇸)
1F1E7 1F1F9   ; Emoji_Flag_Sequence      ; flag: Bhutan                                                   #  6.0  [1] (🇧🇹)
1F1E7 1F1FB   ; Emoji_Flag_Sequence      ; flag: Bouvet Island                                            #  6.0  [1] (🇧🇻)
1F1E7 1F1FC   ; Emoji_Flag_Sequence      ; flag: Botswana                                                 #  6.0  [1] (🇧🇼)
1F1E7 1F1FE   ; Emoji_Flag_Sequence      ; flag: Belarus                                                  #  6.0  [1] (🇧🇾)
1F1E7 1F1FF   ; Emoji_Flag_Sequence      ; flag: Belize                                                   #  6.0  [1] (🇧🇿)
1F1E8 1F1E6   ; Emoji_Flag_Sequence      ; flag: Canada                                                   #  6.0  [1] (🇨🇦)
1F1E8 1F1E8   ; Emoji_Flag_Sequence      ; flag: Cocos (Keeling) Islands                                  #  6.0  [1] (🇨🇨)
1F1E8 1F1E9   ; Emoji_Flag_Sequence      ; flag: Congo - Kinshasa                                         #  6.0  [1] (🇨🇩)
1F1E8 1F1EB   ; Emoji_Flag_Sequence      ; flag: Central African Republic                                 #  6.0  [1] (🇨🇫)
1F1E8 1F1EC   ; Emoji_Flag_Sequence      ; flag: Congo - Brazzaville                                      #  6.0  [1] (🇨🇬)
1F1E8 1F1ED   ; Emoji_Flag_Sequence      ; flag: Switzerland                                              #  6.0  [1] (🇨🇭)
1F1E8 1F1EE   ; Emoji_Flag_Sequence      ; flag: Côte d’Ivoire                                            #  6.0  [1] (🇨🇮)
1F1E8 1F1F0   ; Emoji_Flag_Sequence      ; flag: Cook Islands                                             #  6.0  [1] (🇨🇰)
1F1E8 1F1F1   ; Emoji_Flag_Sequence      ; flag: Chile                                                    #  6.0  [1] (🇨🇱)
1F1E8 1F1F2   ; Emoji_Flag_Sequence      ; flag: Cameroon                                                 #  6.0  [1] (🇨🇲)
1F1E8 1F1F3   ; Emoji_Flag_Sequence      ; flag: China                                                    #  6.0  [1] (🇨🇳)
1F1E8 1F1F4   ; Emoji_Flag_Sequence      ; flag: Colombia                                                 #  6.0  [1] (🇨🇴)
1F1E8 1F1F5   ; Emoji_Flag_Sequence      ; flag: Clipperton Island                                        #  6.0  [1] (🇨🇵)
1F1E8 1F1F7   ; Emoji_Flag_Sequence      ; flag: Costa Rica                                               #  6.0  [1] (🇨🇷)
1F1E8 1F1FA   ; Emoji_Flag_Sequence      ; flag: Cuba                                                     #  6.0  [1] (🇨🇺)
1F1E8 1F1FB   ; Emoji_Flag_Sequence      ; flag: Cape Verde                                               #  6.0  [1] (🇨🇻)
1F1E8 1F1FC   ; Emoji_Flag_Sequence      ; flag: Curaçao                                                  #  6.0  [1] (🇨🇼)
1F1E8 1F1FD   ; Emoji_Flag_Sequence      ; flag: Christmas Island                                         #  6.0  [1] (🇨🇽)
1F1E8 1F1FE   ; Emoji_Flag_Sequence      ; flag: Cyprus                                                   #  6.0  [1] (🇨🇾)
1F1E8 1F1FF   ; Emoji_Flag_Sequence      ; flag: Czechia                                                  #  6.0  [1] (🇨🇿)
1F1E9 1F1EA   ; Emoji_Flag_Sequence      ; flag: Germany                                                  #  6.0  [1] (🇩🇪)
1F1E9 1F1EC   ; Emoji_Flag_Sequence      ; flag: Diego Garcia                                             #  6.0  [1] (🇩🇬)
1F1E9 1F1EF   ; Emoji_Flag_Sequence      ; flag: Djibouti                                                 #  6.0  [1] (🇩🇯)
1F1E9 1F1F0   ; Emoji_Flag_Sequence      ; flag: Denmark                                                  #  6.0  [1] (🇩🇰)
1F1E9 1F1F2   ; Emoji_Flag_Sequence      ; flag: Dominica                                                 #  6.0  [1] (🇩🇲)
1F1E9 1F1F4   ; Emoji_Flag_Sequence      ; flag: Dominican Republic                                       #  6.0  [1] (🇩🇴)
1F1E9 1F1FF   ; Emoji_Flag_Sequence      ; flag: Algeria                                                  #  6.0  [1] (🇩🇿)
1F1EA 1F1E6   ; Emoji_Flag_Sequence      ; flag: Ceuta & Melilla                                          #  6.0  [1] (🇪🇦)
1F1EA 1F1E8   ; Emoji_Flag_Sequence      ; flag: Ecuador                                                  #  6.0  [1] (🇪🇨)
1F1EA 1F1EA   ; Emoji_Flag_Sequence      ; flag: Estonia                                                  #  6.0  [1] (🇪🇪)
1F1EA 1F1EC   ; Emoji_Flag_Sequence      ; flag: Egypt                                                    #  6.0  [1] (🇪🇬)
1F1EA 1F1ED   ; Emoji_Flag_Sequence      ; flag: Western Sahara                                           #  6.0  [1] (🇪🇭)
1F1EA 1F1F7   ; Emoji_Flag_Sequence      ; flag: Eritrea                                                  #  6.0  [1] (🇪🇷)
1F1EA 1F1F8   ; Emoji_Flag_Sequence      ; flag: Spain                                                    #  6.0  [1] (🇪🇸)
1F1EA 1F1F9   ; Emoji_Flag_Sequence      ; flag: Ethiopia                                                 #  6.0  [1] (🇪🇹)
1F1EA 1F1FA   ; Emoji_Flag_Sequence      ; flag: European Union                                           #  6.0  [1] (🇪🇺)
1F1EB 1F1EE   ; Emoji_Flag_Sequence      ; flag: Finland                                                  #  6.0  [1] (🇫🇮)
1F1EB 1F1EF   ; Emoji_Flag_Sequence      ; flag: Fiji                                                     #  6.0  [1] (🇫🇯)
1F1EB 1F1F0   ; Emoji_Flag_Sequence      ; flag: Falkland Islands                                         #  6.0  [1] (🇫🇰)
1F1EB 1F1F2   ; Emoji_Flag_Sequence      ; flag: Micronesia                                               #  6.0  [1] (🇫🇲)
1F1EB 1F1F4   ; Emoji_Flag_Sequence      ; flag: Faroe Islands                                            #  6.0  [1] (🇫🇴)
1F1EB 1F1F7   ; Emoji_Flag_Sequence      ; flag: France                                                   #  6.0  [1] (🇫🇷)
1F1EC 1F1E6   ; Emoji_Flag_Sequence      ; flag: Gabon                                                    #  6.0  [1] (🇬🇦)
1F1EC 1F1E7   ; Emoji_Flag_Sequence      ; flag: United Kingdom                                           #  6.0  [1] (🇬🇧)
1F1EC 1F1E9   ; Emoji_Flag_Sequence      ; flag: Grenada                                                  #  6.0  [1] (🇬🇩)
1F1EC 1F1EA   ; Emoji_Flag_Sequence      ; flag: Georgia                                                  #  6.0  [1] (🇬🇪)
1F1EC 1F1EB   ; Emoji_Flag_Sequence      ; flag: French Guiana                                            #  6.0  [1] (🇬🇫)
1F1EC 1F1EC   ; Emoji_Flag_Sequence      ; flag: Guernsey                                                 #  6.0  [1] (🇬🇬)
1F1EC 1F1ED   ; Emoji_Flag_Sequence      ; flag: Ghana                                                    #  6.0  [1] (🇬🇭)
1F1EC 1F1EE   ; Emoji_Flag_Sequence      ; flag: Gibraltar                                                #  6.0  [1] (🇬🇮)
1F1EC 1F1F1   ; Emoji_Flag_Sequence      ; flag: Greenland                                                #  6.0  [1] (🇬🇱)
1F1EC 1F1F2   ; Emoji_Flag_Sequence      ; flag: Gambia                                                   #  6.0  [1] (🇬🇲)
1F1EC 1F1F3   ; Emoji_Flag_Sequence      ; flag: Guinea                                                   #  6.0  [1] (🇬🇳)
1F1EC 1F1F5   ; Emoji_Flag_Sequence      ; flag: Guadeloupe                                               #  6.0  [1] (🇬🇵)
1F1EC 1F1F6   ; Emoji_Flag_Sequence      ; flag: Equatorial Guinea                                        #  6.0  [1] (🇬🇶)
1F1EC 1F1F7   ; Emoji_Flag_Sequence      ; flag: Greece                                                   #  6.0  [1] (🇬🇷)
1F1EC 1F1F8   ; Emoji_Flag_Sequence      ; flag: South Georgia & South Sandwich Islands                   #  6.0  [1] (🇬🇸)
1F1EC 1F1F9   ; Emoji_Flag_Sequence      ; flag: Guatemala                                                #  6.0  [1] (🇬🇹)
1F1EC 1F1FA   ; Emoji_Flag_Sequence      ; flag: Guam                                                     #  6.0  [1] (🇬🇺)
1F1EC 1F1FC   ; Emoji_Flag_Sequence      ; flag: Guinea-Bissau                                            #  6.0  [1] (🇬🇼)
1F1EC 1F1FE   ; Emoji_Flag_Sequence      ; flag: Guyana                                                   #  6.0  [1] (🇬🇾)
1F1ED 1F1F0   ; Emoji_Flag_Sequence      ; flag: Hong Kong SAR China                                      #  6.0  [1] (🇭🇰)
1F1ED 1F1F2   ; Emoji_Flag_Sequence      ; flag: Heard & McDonald Islands                                 #  6.0  [1] (🇭🇲)
1F1ED 1F1F3   ; Emoji_Flag_Sequence      ; flag: Honduras                                                 #  6.0  [1] (🇭🇳)
1F1ED 1F1F7   ; Emoji_Flag_Sequence      ; flag: Croatia                                                  #  6.0  [1] (🇭🇷)
1F1ED 1F1F9   ; Emoji_Flag_Sequence      ; flag: Haiti                                                    #  6.0  [1] (🇭🇹)
1F1ED 1F1FA   ; Emoji_Flag_Sequence      ; flag: Hungary                                                  #  6.0  [1] (🇭🇺)
1F1EE 1F1E8   ; Emoji_Flag_Sequence      ; flag: Canary Islands                                           #  6.0  [1] (🇮🇨)
1F1EE 1F1E9   ; Emoji_Flag_Sequence      ; flag: Indonesia                                                #  6.0  [1] (🇮🇩)
1F1EE 1F1EA   ; Emoji_Flag_Sequence      ; flag: Ireland                                                  #  6.0  [1] (🇮🇪)
1F1EE 1F1F1   ; Emoji_Flag_Sequence      ; flag: Israel                                                   #  6.0  [1] (🇮🇱)
1F1EE 1F1F2   ; Emoji_Flag_Sequence      ; flag: Isle of Man                                              #  6.0  [1] (🇮🇲)
1F1EE 1F1F3   ; Emoji_Flag_Sequence      ; flag: India                                                    #  6.0  [1] (🇮🇳)
1F1EE 1F1F4   ; Emoji_Flag_Sequence      ; flag: British Indian Ocean Territory                           #  6.0  [1] (🇮🇴)
1F1EE 1F1F6   ; Emoji_Flag_Sequence      ; flag: Iraq                                                     #  6.0  [1] (🇮🇶)
1F1EE 1F1F7   ; Emoji_Flag_Sequence      ; flag: Iran                                                     #  6.0  [1] (🇮🇷)
1F1EE 1F1F8   ; Emoji_Flag_Sequence      ; flag: Iceland                                                  #  6.0  [1] (🇮🇸)
1F1EE 1F1F9   ; Emoji_Flag_Sequence      ; flag: Italy                                                    #  6.0  [1] (🇮🇹)
1F1EF 1F1EA   ; Emoji_Flag_Sequence      ; flag: Jersey                                                   #  6.0  [1] (🇯🇪)
1F1EF 1F1F2   ; Emoji_Flag_Sequence      ; flag: Jamaica                                                  #  6.0  [1] (🇯🇲)
1F1EF 1F1F4   ; Emoji_Flag_Sequence      ; flag: Jordan                                                   #  6.0  [1] (🇯🇴)
1F1EF 1F1F5   ; Emoji_Flag_Sequence      ; flag: Japan                                                    #  6.0  [1] (🇯🇵)
1F1F0 1F1EA   ; Emoji_Flag_Sequence      ; flag: Kenya                                                    #  6.0  [1] (🇰🇪)
1F1F0 1F1EC   ; Emoji_Flag_Sequence      ; flag: Kyrgyzstan                                               #  6.0  [1] (🇰🇬)
1F1F0 1F1ED   ; Emoji_Flag_Sequence      ; flag: Cambodia                                                 #  6.0  [1] (🇰🇭)
1F1F0 1F1EE   ; Emoji_Flag_Sequence      ; flag: Kiribati                                                 #  6.0  [1] (🇰🇮)
1F1F0 1F1F2   ; Emoji_Flag_Sequence      ; flag: Comoros                                                  #  6.0  [1] (🇰🇲)
1F1F0 1F1F3   ; Emoji_Flag_Sequence      ; flag: St. Kitts & Nevis                                        #  6.0  [1] (🇰🇳)
1F1F0 1F1F5   ; Emoji_Flag_Sequence      ; flag: North Korea                                              #  6.0  [1] (🇰🇵)
1F1F0 1F1F7   ; Emoji_Flag_Sequence      ; flag: South Korea                                              #  6.0  [1] (🇰🇷)
1F1F0 1F1FC   ; Emoji_Flag_Sequence      ; flag: Kuwait                                                   #  6.0  [1] (🇰🇼)
1F1F0 1F1FE   ; Emoji_Flag_Sequence      ; flag: Cayman Islands                                           #  6.0  [1] (🇰🇾)
1F1F0 1F1FF   ; Emoji_Flag_Sequence      ; flag: Kazakhstan                                               #  6.0  [1] (🇰🇿)
1F1F1 1F1E6   ; Emoji_Flag_Sequence      ; flag: Laos                                                     #  6.0  [1] (🇱🇦)
1F1F1 1F1E7   ; Emoji_Flag_Sequence      ; flag: Lebanon                                                  #  6.0  [1] (🇱🇧)
1F1F1 1F1E8   ; Emoji_Flag_Sequence      ; flag: St. Lucia                                                #  6.0  [1] (🇱🇨)
1F1F1 1F1EE   ; Emoji_Flag_Sequence      ; flag: Liechtenstein                                            #  6.0  [1] (🇱🇮)
1F1F1 1F1F0   ; Emoji_Flag_Sequence      ; flag: Sri Lanka                                                #  6.0  [1] (🇱🇰)
1F1F1 1F1F7   ; Emoji_Flag_Sequence      ; flag: Liberia                                                  #  6.0  [1] (🇱🇷)
1F1F1 1F1F8   ; Emoji_Flag_Sequence      ; flag: Lesotho                                                  #  6.0  [1] (🇱🇸)
1F1F1 1F1F9   ; Emoji_Flag_Sequence      ; flag: Lithuania                                                #  6.0  [1] (🇱🇹)
1F1F1 1F1FA   ; Emoji_Flag_Sequence      ; flag: Luxembourg                                               #  6.0  [1] (🇱🇺)
1F1F1 1F1FB   ; Emoji_Flag_Sequence      ; flag: Latvia                                                   #  6.0  [1] (🇱🇻)
1F1F1 1F1FE   ; Emoji_Flag_Sequence      ; flag: Libya                                                    #  6.0  [1] (🇱🇾)
1F1F2 1F1E6   ; Emoji_Flag_Sequence      ; flag: Morocco                                                  #  6.0  [1] (🇲🇦)
1F1F2 1F1E8   ; Emoji_Flag_Sequence      ; flag: Monaco                                                   #  6.0  [1] (🇲🇨)
1F1F2 1F1E9   ; Emoji_Flag_Sequence      ; flag: Moldova                                                  #  6.0  [1] (🇲🇩)
1F1F2 1F1EA   ; Emoji_Flag_Sequence      ; flag: Montenegro                                               #  6.0  [1] (🇲🇪)
1F1F2 1F1EB   ; Emoji_Flag_Sequence      ; flag: St. Martin                                               #  6.0  [1] (🇲🇫)
1F1F2 1F1EC   ; Emoji_Flag_Sequence      ; flag: Madagascar                                               #  6.0  [1] (🇲🇬)
1F1F2 1F1ED   ; Emoji_Flag_Sequence      ; flag: Marshall Islands                                         #  6.0  [1] (🇲🇭)
1F1F2 1F1F0   ; Emoji_Flag_Sequence      ; flag: Macedonia                                                #  6.0  [1] (🇲🇰)
1F1F2 1F1F1   ; Emoji_Flag_Sequence      ; flag: Mali                                                     #  6.0  [1] (🇲🇱)
1F1F2 1F1F2   ; Emoji_Flag_Sequence      ; flag: Myanmar (Burma)                                          #  6.0  [1] (🇲🇲)
1F1F2 1F1F3   ; Emoji_Flag_Sequence      ; flag: Mongolia                                                 #  6.0  [1] (🇲🇳)
1F1F2 1F1F4   ; Emoji_Flag_Sequence      ; flag: Macao SAR China                                          #  6.0  [1] (🇲🇴)
1F1F2 1F1F5   ; Emoji_Flag_Sequence      ; flag: Northern Mariana Islands                                 #  6.0  [1] (🇲🇵)
1F1F2 1F1F6   ; Emoji_Flag_Sequence      ; flag: Martinique                                               #  6.0  [1] (🇲🇶)
1F1F2 1F1F7   ; Emoji_Flag_Sequence      ; flag: Mauritania                                               #  6.0  [1] (🇲🇷)
1F1F2 1F1F8   ; Emoji_Flag_Sequence      ; flag: Montserrat                                               #  6.0  [1] (🇲🇸)
1F1F2 1F1F9   ; Emoji_Flag_Sequence      ; flag: Malta                                                    #  6.0  [1] (🇲🇹)
